actual_pos[0],actual_pos[1],target_pos[0],target_pos[1],actual_vel[0],actual_vel[1],target_vel[0],target_vel[1],actual_torque[0],actual_torque[1],u_ff[0],u_ff[1],time
-0.66875,2.07489,-0.728339,2.08044,-0.115559,-0,-0.11145,0.00487838,-3.74143,0.39732,0,0,2.139
-0.668865,2.07489,-0.72845,2.08044,-0.115585,-0,-0.11145,0.00487838,-3.87387,0.43043,0,0,2.14
-0.668984,2.07489,-0.728562,2.08045,-0.117273,-0,-0.11145,0.00487838,-3.90698,0.36421,0,0,2.141
-0.669099,2.07489,-0.728673,2.08045,-0.12069,-0,-0.11145,0.00487838,-3.84076,0.36421,0,0,2.142
-0.669214,2.07489,-0.728785,2.08046,-0.108913,-0,-0.11145,0.00487838,-3.77454,0.29799,0,0,2.143
-0.669333,2.07489,-0.728896,2.08046,-0.120697,-0,-0.11145,0.00487838,-3.84076,0.36421,0,0,2.144
-0.669448,2.07489,-0.729008,2.08047,-0.115352,-0,-0.11145,0.00487838,-3.87387,0.36421,0,0,2.145
-0.669563,2.07489,-0.729119,2.08047,-0.117047,-0,-0.11145,0.00487838,-3.74143,0.36421,0,0,2.146
-0.669678,2.07489,-0.72923,2.08048,-0.11422,-0,-0.11145,0.00487838,-3.77454,0.46354,0,0,2.147
-0.669797,2.07489,-0.729342,2.08048,-0.117123,-0,-0.11145,0.00487838,-3.9732,0.26488,0,0,2.148
-0.669912,2.07489,-0.729453,2.08049,-0.115532,-0,-0.11145,0.00487838,-3.90698,0.36421,0,0,2.149
-0.670012,2.07489,-0.729565,2.08049,-0.106305,-0,-0.11145,0.00487838,-3.94009,0.39732,0,0,2.15
-0.670135,2.07489,-0.729676,2.0805,-0.112517,-0,-0.11145,0.00487838,-3.87387,0.46354,0,0,2.151
-0.670254,2.07489,-0.729788,2.0805,-0.122055,-0,-0.11145,0.00487838,-3.80765,0.43043,0,0,2.152
-0.670357,2.07489,-0.729899,2.08051,-0.103659,-0,-0.11145,0.00487838,-3.87387,0.29799,0,0,2.153
-0.670461,2.07489,-0.730011,2.08051,-0.106309,-0,-0.11145,0.00487838,-3.94009,0.43043,0,0,2.154
-0.67058,2.07489,-0.730122,2.08052,-0.116337,-0,-0.11145,0.00487838,-4.00631,0.36421,0,0,2.155
